summary,reference_title,generated_title
شهردار ساری گفت: بعد از آغاز به کار کارخانه تولید موزائیک در ابتدای سال که شهرداری ساری را در بخش پروژه‌های پیاده‌روسازی به خود کفایی کامل رساند، در راستای اتکا به توان و ظرفیت درون سازمانی، راه‌اندازی خط تولید بتن RCC در حال انجام است.,راه‌اندازی خط تولید بتن RCC شهرداری ساری,خط تولید بتنی RCC در ساری راه اندازی می‌شود / ۱۰۰ میلیون مترمربع بتن در سال تولید می‌شود.
دستگاه‌های جت پرینتر به منظور درج تاریخ تولید و انقضا و اطلاعات متغیر بروی محصولات تولیدی و صنعتی استفاده می‌شود.,جت پرینتر یا تاریخ زن و انواع آن,استفاده از دستگاه جتپرینتر برای درج اطلاعات روی محصولات صنعتی و تولیدی / مزایای استفاده از این دستگاه‌ها چیست؟
رئیس مرکز طرح ­های کلان ملی فناوری از حمایت معاونت علمی از طرحهای کلان ملی خبر داد و گفت: اکنون ۱۶۰ طرح ملی در حال اجراست که معاونت علمی تاکنون ۵۰ میلیارد تومان از آنها حمایت کرده است.,۱۶۰ طرح کلان ملی در ۱۰ حوزه اجرا می‌شوند,معاون علمی از حمایت از طرح‌های کلان ملي خبر داد / ۵۰میلیارد تومان حمایت شده است.
کمیته بین‌المللی المپیک نام دو ورزشکار دیگر حاضر در المپیک ۲۰۱۲ لندن را که نمونه آزمایش آن‌ها مثبت شده را اعلام و نام آنها را از جدول رقابت‌ها کنار گذاشت.,مثبت اعلام شدن دوپینگ دو ورزشکار در المپیک لندن,دو نفر دیگر از ورزشکاران لندنی به دلیل مثبت بودن نمونه آزمایششان کنار گذاشته می‌شوند.
نماینده تجارت فدراسیون روسیه اعلام کرد: سهم تسویه حساب‌های متقابل بین روسیه و ایران در ارزهای ملی از ۵۰ درصد فراتر رفته است.,افزایش ۵۰ درصدی حجم مالی ایران و روسیه با ارزهای ملی,سهم ارز ملی در مبادلات تجاری ایران و روسیه ۵۰ درصدی فراتر می‌رود.
روز گذشته بزرگترین گلخانه پشت‌بام جهان در شهر مونترال، دومین شهر بزرگ کانادا افتتاح شد.,بزرگترین گلخانه پشت‌بام جهان در مونترال افتتاح شد,بزرگ‌ترین گلخانه پستی جهان در کانادا راه‌اندازی شد. / عکس + ویدئو
رئیس انجمن جراحان پلاستیک و زیبایی ایران، نسبت به انجام جراحی‌های زیرزمینی زیبایی در شرایط کرونا هشدار داد.,انجام جراحی‌های زیرزمینی زیبایی در شرایط کرونا,هشدار نسبت به جراحی زیبایی زیر زمینی کرونایی / خطر بروز عوارض را افزایش می‌دهد.
مقامهای حیات وحش کالیفرنیا روز سه‌شنبه (پنجم خرداد ماه) از مرگ پستانداران دریایی و پرندگان در پی ترکیدن و نشت نفت از خط لوله انتقال نفت این ایالت خبر دادند.,مرگ ده‌ها پرنده و پستاندار دریایی در اثر نشت نفت از خط لوله کالیفرنیا,مرگ ۲ هزار پرنده در اثر نشت نفتی در کالیفورنیا گزارش شد / تخریب زیست‌محیطی در آمریکا افزایش می‌یابد؟!؟!?!?!!?!?!?!?!!!?!?!??!?!?!???!!!???!!!???????!!!!!!!??????!!!?????!!!!!!!???!!!!!!!!!??????!!!!!!!!!???!!!!!!????!!!!!!!!!??!!!!!!!??!!!!!!??!!!!!??!!??!!!??!!???!!!??!!!???
شهرضا معاون برنامه‌ریزی و توسعه فرمانداری شهرضا از شناسایی ۳۲ نقطه حادثه‌خیز دورن شهری و شش نقطه حادثه‌خیز برون‌شهری در دو ماه گذشته در این شهرستان خبر داد.,شناسایی ۳۲ نقطه حادثه‌خیز دورن شهری,شناسایی نقطه‌های خطرناک در شهرضا در ۲ ماه اخیر / ۳۸ نقطه خطرپذیر شناسایی شد.
معاون بهداشت دانشگاه علوم پزشکی تهران، گفت: افراد دیابتی در صورت ابتلا به کرونا، دچار نوع شدید این بیماری می‌شوند.,۱۱ درصد جمعیت بالای ۲۵ سال کشور دیابت دارند,افراد مبتلا به دیابت دچار کرونای شدید می‌شوند / توصیه‌های بهداشتی برای مبتلایان به این بیماری اعلام شد.
مصرف بنزین کل کشور روز چهارشنبه (چهارم فروردین‌ماه) با افزایش هفت درصدی نسبت به‌روز سه‌شنبه (سوم فروردین‌ماه) به ۷۷ میلیون و ۱۰۰ هزار لیتر رسید.,افزایش ۷ درصدی مصرف بنزین در چهارم فروردین‌ماه,مصرف بنزین کل کشور روز چهارشنبه (چهارم فروردین‌ماه)...
مدیر منطقه ۹ شهرداری اصفهان گفت: با پیگیری‌های انجام‌شده هفت هزار و ۵۹۰ مترمربع از اراضی کشاورزی خارج از محدوده این منطقه برای احداث بزرگترین ورزشگاه روباز غرب اصفهان آزادسازی شد.,تملک بیش از ۷ هزار مترمربع زمین برای احداث بزرگترین ورزشگاه غرب اصفهان,آزادسازی ۷ هزار متر مربع زمین برای ساخت ورزشگاه بزرگ غرب اصفهان / تصاویر + ویدئو
با توجه به شیوع ویروس کرونا در آمریکا، نرخ بیکاری در این کشور کاهش پیدا نخواهد کرد.,۲ رقمی شدن نرخ بیکاری در آمریکا,بیکاری آمریکا با شیوع کرونای افزایش می‌یابد / نرخ ۴/۲ درصد پیش‌بینی می‌شود.
رئیس سازمان شهرداری‌ها و دهیاری‌های کشور گفت: کمک دولت به صورت وام‌های کم‌بهره برای رونق بخشی به فعالان این بخش محرک فعالیت گردشگری قلمداد می‌شود، تهیه بسته سفرهای ارزان‌قیمت برای مردم و پیشنهاد آن برای رونق بخشی و تحرک در بخش گردشگری هم می‌تواند با ابزار پرداخت یارانه‌های هدفمند تکمیل و اجرایی شود.,دولت از صنعت گردشگری حمایت کند,پرداخت وام ۵ میلیارد تومانی برای فعالان گردشگری در دستور کار قرار دارد / بسته سفر ارزان قیمتی برای مردم پیشنهاد می‌شود.
عضو شورای اسلامی شهر تهران گفت: اگر شهرداری به وظیفه قانونی خود در قبال معلولان عمل کند بدون شک زمینه‌ساز بهبود و ارتقاء سطح دسترس پذیری آنان در تهران خواهد شد.,شهرداری به وظایف خود در قبال معلولان عمل کند / وجود یک‌میلیون معلول در تهران,ارتقای دسترس‌پذیری معلولین در تهران با عمل شهرداری امکان‌پذیر است / باید به وظایف قانونی عمل کنیم.
مقیمی، مدیرعامل گروه صنعتی ایران‌خودرو از آمادگی تحویل خودرو دنا پلاس توربواتوماتیک به مشتریان خبر داد و گفت: ارسال دعوتنامه به مشتریان منوط به تصویب قیمت نهایی این محصول توسط نهادهای ذیربط است.,قیمت‌گذاری دنا پلاس توربو اتوماتیک در آستانه تصویب,آمادگی گروه ایران خودرو برای تحویل دنا توربو اتوماتیک / دعوت‌نامه به مشتری‌ها منوط است به قیمت‌های نهادها است.
دولت آمریکا از کمیسیون فدرال ارتباطات این کشور خواسته قوانین بیشتری برای کنترل شبکه‌های اجتماعی از جمله فیس بوک و توئیتر تنظیم کند.,گام جدید ترامپ برای کنترل شبکه‌های اجتماعی,آمریکا می‌خواهد قوانین سخت‌تر برای شبکه‌های مجازی تصویب کند / فیس‌بوک و توییتر را هدف قرار می‌دهد!؟!?!?!?!?!!!?!?!???!?!???!!!?!?!!?!?!???????!!!???!!!???????!!!!!!!?????!!!!!!!???!!!!!!!!!????!!!!!!!!!??!!!!!!!!!???!!!!!!??!!!!!!!??!!!!!!????!!!!!!???!!!!!???????!!!!!??!!!!!?????!!!!!??????!!!!!??
منابع صنعت نفت پیش‌بینی کردند که عربستان سعودی و کویت در ماه دسامبر تولید نفت را از میدان‌های نفتی منطقه بی‌طرف میان دو کشور که بطور مشترک از آن بهره‌برداری می‌کنند، از سربگیرند.,عربستان و کویت بهره‌برداری از میدان‌های نفتی را از سر می‌گیرند,تولید نفت از میدان مشترک سعودی-کویتی در دسامبر متوقف می‌شود؟ / منبع صنعت نفت خبر داد.
زنگ خطر طلاق با ثبت یکصد و هفتاد و پنج هزار جدایی در سال ۹۶ در ایران به صدا درآمد.,طلاق رکورد زد,زنگ خطر طلاق با ثبت یکصد و هفتاد...
محققان در یک شرکت دانش بنیان موفق به تولید دستگاهی شدند که پانسمان را تولید می‌کند و می‌تواند از واردات زخمپوش‌ها به کشور جلوگیری کند.,ساخت دستگاهی برای تولید زخم پوش / جایگزینی برای پانسمانهای خارجی,تولید دستگاه تولید زخم‌پوش در شرکت دانش‌بنیان / کاهش واردات ۱۰۰ میلیارد تومانی زخم‌وپوش‌ها از چین و کره جنوبی در سال ۱۳۹۸ / تولید ۵۰۰۰ دستگاه در سال آینده / کاهش ۵۰ درصدی هزینه تولید با استفاده از فناوری نانو / کاهش مصرف مواد اولیه ۶۰ درصد / تولید پانزده نوع زخم پوش با این دستگاه / کاهش زمان تولید ۹۰ درصد با این فناوری
در این مطلب ۶ عنوان کتاب به شما معرفی می‌شود که از آثار مهم ادبیات جهان هستند و از خواندن آنها لذت خواهید برد.,۶ کتاب که باید خواندن آنها را در فهرست کارهای ضروری خود قرار دهید,"۶ اثر مهم ادبی از جهان که خواندنشان لازمه است! + تصاویر
برچسب‌ها: 6 اثر مهم ، ادبیات ، جهان ، کتاب ، معرفی ، آثار ، مهم ، خواندن ، لزوم ، لطفا ، بخوانید ، تصاویر ، معرفی کتاب ، کتاب‌های مهم ، آثار ادبی ، جهان و ایران ، معرفی آثار ، معرفی ادبی ، معرفی مهم ، معرفی جهان ، معرفی ایران ، مهم ادبی ، مهم جهان ، مهم ایران ، ل"
در یکصد و بیست و سومین جلسه علنی شورای اسلامی شهر اصفهان از مدیران کل ارتباطات و امور بین‌الملل شهرداری و شورای شهر اصفهان تقدیر شد.,تقدیر از مدیرکل ارتباطات شهرداری اصفهان در صحن شورای شهر,تقدیر از مدیرکل ارتباطات شهرداری اصفهان در جلسه شورای شهر این شهر برگزار شد.
نمایندگان مجلس با ادامه اجرای قانون مالیات بر ارزش افزوده مصوب سال ۸۷ تا زمان بررسی و لازم‌الاجرا شدن قانون جدید موافقت کردند.,موافقت نمایندگان با اجرای قانون مالیات بر ارزش افزوده مصوب سال ۸۷,تصویب قطعنامه مجلس در مورد مالیات ارزش افزودها / ادامه قانون مصوب ۱۳۸۷ تا زمانی که قانون جدید لازم‌الاجراء شود / مخالفت نمایندگان اصولگرا با این قطعنامه / تاکید نمایندگان اصلاح‌طلب و مستقل بر ضرورت قانون جدید مالیات / تهدید برخی نمایندگان با استیضاح وزیر امور اقتصادی و دارایی در صورتی که دولت قانون جدید را به مجلس نرساند. / تصوی
جانشین معاون اجتماعی ناجا گفت: همکاری دو جانبه پلیس و سازمان نظام روانشناسی به عنوان دو نهاد همکار و همسو در کاهش آسیب‌های روانی-اجتماعی، قدرت عمل و اثربخشی اقدامات را دو چندان می‌کند.,همکاری‌های مشترک سازمان نظام روان‌شناسی و پلیس,همکاری پلیس با روانشناسان برای کاهش سوءاستفاده از موادمخدر افزایش می‌یابد / ۳۰۰ هزار نفر در سال ۹۹ تحت درمان قرار گرفتند / ۸۰ درصد معتادان به مواد مخدر در سن ۱۵ تا ۲۵ سالگی معتاد می‌شوند. / ۶۰ درصد از معتادین در سنین ۳۵ تا ۴۵ سالگی به مواد اعتیادآور روی می‌آورند. / معتاد
بازیکن جوان رئال مادرید از رویای محقق شده‌اش از بازی کردن برای تیم بزرگ رئال مادرید و حتی به ثمر رساندن گل پنالتی در دیدار فینال سوپرکاپ اسپانیاگفته است.,رودریگو: زیدان به من می‌گوید وقتی بازیکن بوده چه‌کارهایی انجام می‌داده است,محقق شدن رویای یک بازیکن ۱۸ ساله رئال‌مادرید! / تصاویر + ویدئو / گزیده / اسپانیا / فوتبال / ۲۰۱۹ / ۸ / ۳۱ / ۲۲:۰۵ / ۱۳۹۸ / آگوست / دویچه‌وله فارسی / ایران / جهان / خبری / خبر / خبر ورزشی / ورزشی / اخبار ورزشی / فوتبال ایران / لیگ برتر / لیگ قهرمانان اروپا / رئال
برخی منابع اعلام کردند به دلیل تاثیر منفی ویروس کرونا بر تقاضای نفت چین، مازاد قیمت تک‌فروشی برای شاخص نفت خام ئی‌اس‌پی‌او روسیه با کاهش بیشتری روبه‌رو شده است.,سقوط قیمت نفت صادراتی روسیه به دلیل تاثیر کرونا بر تقاضای نفت چین,کاهش قیمت تک فروشی نفت روسیه در بازار جهانی / کاهش تقاضا در چین عامل اصلی این کاهش است. / افزایش تولید نفت در آمریکا و روسیه عامل دیگر کاهش قیمت نفت است / کاهش تولید نفت عربستان سعودی در ماه آگوست ۲۰۲۰ عامل دیگر این کاهش بود. / کاهش مصرف نفت در جهان در ماه‌های آگست و سپتامبر ۲۰۲۱ از دیگر دلایل کاهش این شاخص است / نوسانات قیمت نفت در بازارهای جهانی از دیگر عوامل این کاهش
مدیرعامل سازمان آرامستان‌های شهرداری اصفهان با بیان اینکه آرامستان باغ رضوان در ایام تعطیل پیش رو باز است، گفت: مناسک خاکسپاری و خدمات غسل و کف و دفن اموات با حضور حداقلی افراد برگزار می‌شود.,آرامستان باغ رضوان تعطیل نیست,آرامستان بغ رضوان باز است / غسل، کف، دفن با حضورحداقلی انجام می‌شود / تعطیلی آرامستان‌ها تا ۳۱ اردیبهشت ادامه می‌یابد. / مراکز بهداشتی و پرستاری در آرامستانها فعال نیستند. / خدمات دفن و غسل اموات در اماکن مذهبی انجام می‌گیرد. / تدابیر لازم برای جلوگیری از شیوع ویروس کرونا
"درصد تغییرات شاخص قیمت اجاره‌بها در فصل پاییز ۱۳۹۸ نسبت به فصل مشابه سال قبل (تورم نقطه به نقطه)، ۲۱ , ۶ درصد است که نسبت به فصل تابستان ۱۳۹۸ (۲۳ ٫ ۱ درصد)، ۱ ٫ ۵ واحد درصد کاهش نشان می‌دهد.",کاهش ۱ ٫ ۵ درصدی شاخص قیمت اجاره‌بها در پاییز ۹۸,افزایش ۲۱/۶ درصدی اجاره‌نامه‌های مسکونی در پایتخت / کاهش ۱/۵ واحدی نسبت به تابستان سال جاری / تورم ۳/۲ در صبحانه و ۲/۱ در ناهار و شام / افزایش ۴/۱ واحدی در قیمت‌ها از ۳۱ شهریور تا ۳۰ آبان ۹۸
به گفته رئیس سازمان امداد و نجات جمعیت هلال‌احمر، بر اساس استاندارهای موجود کشور ما به ایجاد ۴۰۱ پایگاه دیگر برای پوشش کامل در حوادث نیازمند است.,کمبود ۴۰۱ پایگاه امداد و نجات در کشور,۴۰۰ پایگاه امدادی در سراسر کشور فعال است / نیاز به ۴۱۱ پایگاه بیشتر وجود دارد؟!؟!?!?!?!?!?!!?!?!?!?!!!?!?!??!?!?
باکو ایرنا «الهام علی‌اف» رییس‌جمهور آذربایجان گفت: نخست‌وزیر ارمنستان وقتیکه به صراحت منطقه قره‌باغ را جزو کشور خود می‌داند، مذاکراه برای حل مناقشه قره‌باغ فایده‌ای ندارد.,علی‌اف: مذاکره با ارمنستان فایده ندارد,"مذاکره در مورد مناقشة قره باغ بی‌فایده است / الهام علی‌یف »/a> </a></p> <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" height=""315"" src=""https://www.youtube.com/embed/8eJ3Q6f5jgU"" style=""aspect-ratio:"
معاون بازرگانی پتروشیمی آبادان با بیان این‌که برنامه ریزان نمایشگاه ایران پلاست باید برای جذب سرمایه‌گذاری خارجی، سیاستهای کاربردی و اجرایی خوبی را طراحی و دنبال کنند، گفت: این نمایشگاه فرصتی برای تشویق تولیدکنندگان داخلی برای صادرات است.,ایران پلاست فرصت تشویق تولیدکنندگان داخلی به صادرات,نمایشگاه ایرانپلاست فرصت مناسبی برای تشويق تولیدكنندگان داخلی به صادرات كشور است / برنامه‌ریزان نمایشگاه باید سیاست‌های کاربردی داشته باشند.
تازه‌ترین برآورد بانک گلدمن ساکس نشان می‌دهد که تا سال ۲۰۲۰ میلادی، قیمت نفت در بازه ۵۰ تا ۶۰ دلار برای هر بشکه باقی خواهد ماند.,قیمت نفت در ۵ سال آینده ۵۰ تا ۶۰ دلار خواهد بود,قیمت نفت تا ۲۰۳۰ به ۵۰ دلار می‌رسد؟ / تازه‌ترین پیش‌بینی بانک گلدمکس درباره قیمت نفت
الون ماسک در توئیتر خود اعلام کرد فشار موتور رپتور موشک استارشیپ رکورد زد و پس از رسیدن به ۳۳۰ بار منفجر نشد.,موتور استارشیپ رکورد زد,رکورد ۳۳۱ بار برای موتور موشکی آمریکایی شکسته شد! / الون مسک خبر داد / تصاویر / فیلم / ویدئو / خبرگزاری فارس / اخبار ایران و جهان / ایران / خاورمیانه / جهان / سیاسی / اقتصادی / اجتماعی / فرهنگی / ورزشی / فناوری / علوم و فناوری / محیط‌زیست / حوادث / بین الملل / خبری / فارس نیوز / فarsnews / فآرس /
یک فعال سیاسی اصلاح‌طلب گفت: اصلاح طلبان باید ابتدا مشکلات مردم را بررسی کرده و به جای وعده راهکارهای عملی ارائه دهند. بهتر است اصلاح طلبان نظاره‌گر انتخابات ۱۴۰۰ باشند.,اصلاح طلبان نظاره‌گر انتخابات ۱۴۰۰ باشند,توصیه اصلاح طلب به خودشان برای انتخابات ۹۹ / نظاره گر باشیم! / راهکار عملی ارائه ندهید! / مشکلات مردم بررسی کنید! / وعده بدهید نه راهکار! / اصلاح طلب در انتخابات چه باید بکند؟! / کاندیدای اصلاح طلب چه ویژگی‌هایی باید داشته باشد؟ / کدام اصلاح طلب می‌تواند در انتخابات پیروز شود؟ / چرا اصلاح طلب‌ها در انتخابات شکست می‌خورند؟ / مشکل اصلی اصلاح طلب
وزیر راه و شهرسازی گفت: از محل برگشت اقساط طبق مصوبه مجلس تعداد زیادی از بازنشستگان، تسهیلات خرید مسکن دریافت کرده‎اند. بنابراین برگشت اقساط مسکن مهر می‌تواند در بهترین حالت خرج تکمیل مسکن مهر یا پشتیبانی از این پروژه شود.,تعداد زیادی از بازنشستگان تسهیلات خرید مسکن دریافت کرده‌اند,برگشت ۳۰۰ میلیارد تومان از اقسای مسکن‌مهر برای تکمیل این پروژه است. / تکمیل ۵۰۰ هزار واحد مسکن در سال ۹۹ / ۱۰۰ درصد مسکن‌های تکمیل‌شده با کمک دولت است.
مهلت رفع تعهد واردات همه کالاهای باقی‌مانده در گمرکات از زمان تامین ارز، سه ماه در نظر گرفته‌شده و موارد استثناء توسط وزارت صنعت، بررسی و برای تمدید مهلت به بانک مرکزی اعلام می‌شود.,گمرک: مهلت رفع تعهد واردات کالاها از زمان تامین ارز است,مهلت سه‌ماهه برای تامین تعهدات واردات کالا اعلام شد / استثنائات توسط صنعت بررسی می‌شود
سرپرست معاونت خدمات شهری شهرداری قزوین گفت: ساخت مرکز مدیریت بحران شهرداری قزوین با ۲۴ میلیارد ریال اعتبار از سال آینده آغاز خواهد شد.,آغاز ساخت مرکز مدیریت بحران شهرداری قزوین از سال آینده,آغاز ساخت مرکز کنترل حوادث شهرداری در سال آینده / 24 میلیارد تومان بودجه اختصاص داده شده است.
یاغی اولین فرد در شاخه جدیدی از علم شیمی است که می‌توان با آن مواد جدیدی را تولید کرد، این مواد قادر به حبس دی‌اکسیدکربن و تولید آب از هوا (اتمسفر) بوده در آینده برای منابع انرژی پاک می‌توان از آنها استفاده کرد.,عمر یاغی و شیمی مشبک,یاغی، نخستین ماده شیمیایی که می‌تواند هوا را به آب تبدیل کند! / می‌تواند برای تولید انرژی پاک مورد استفاده قرار گیرد.
تفاهمنامه علمی، پژوهشی، فناوری میان شرکت ملی پخش فرآورده‌های نفتی منطقه همدان و دانشگاه بوعلی سینا به امضا رسید.,همکاری پژوهشی شرکت ملی پخش همدان و دانشگاه بوعلی سینا,امضای تفاهم‌نامه میان شرکت پخش نفتی و دانشگاه علوم پزشکی همدان / همکاری در زمینه تحقیقات و پژوهش‌ها و فناوری‌های نوین در صنعت نفت و گاز و پالایش و پخش محصولات نفتی در استان همدان برقرار شد.
مدیر کل میراث فرهنگی، گردشگری و صنایع‌دستی استان اصفهان از اجرای عملیات مرمت اضطراری سی و سه پل اصفهان توسط گروه امانی اداره کل میراث فرهنگی، گردشگری و صنایع‌دستی استان خبر داد.,اجرای عملیات مرمت اضطراری سی و سه پل اصفهان,مرمت ۳۳ پل اصفهان آغاز شد / امانیان با ۳۰۰ میلیارد ریال هزینه در ۶ ماه تمام شد / ۱۰۰ میلیون نفر از این پل‌ها عبور می‌کنند / ۲ هزار سال قدمت دارد / ۵۰۰ متر طول و ۳ متر عرض دارد / از کاشان به اصفهان می‌رسد / ۷۰ درصد از پل‌ها تخریب شده است / ۳۰ درصد باقی مانده است / در حال حاضر ۸۰ درصد
نمایندگان مجلس شورای اسلامی مقرر کردند هلال‌احمر از پرداخت مالیات بر بودجه دولتی اختصاص‌یافته شده به این سازمان، معاف شود.,معافیت هلال‌احمر از پرداخت مالیات,معافیت مالیاتی هلال احمر از بودجه دولت تصویب شد / ۳ هزار میلیارد تومان بودجه اختصاص یافت / ۵ درصد افزایش حقوق پرسنل / ۱۰۰ درصد افزایش حق‌الزحمه پزشکان و پرستاران / ۵۰ درصد حق الزحمه دندانپزشکان و داروسازان / ۲۵ درصد حق‌العمل کارشناسان و کارمندان غیرپزشکی / ۱۵ درصد حق العمل کارم
یکی از کارآفرینان دوره سیزدهم جشنواره شیخ بهایی ایده ساخت صفحات جاذب گرمایی را مطرح می‌کند.,ذخیره گرمای اماکن با کمک ایده صفحات جاذب گرمایی,صفحه جاذبی گرمایی برای کاهش مصرف انرژی در ساختمان‌ها / ایده‌ای برای کاهش هزینه‌ها و صرفه‌جویی در مصرف آب و برق ساختمان‌ها.
مدیر اکتشاف شرکت ملی نفت ایران از پیشرفت مناسب قراردادهای پژوهشی حوزه اکتشاف شرکت ملی نفت ایران خبر داد و گفت: از مجموع پنج قرارداد امضا شده با دانشگاه‎ها، فاز نخست حداقل سه قرارداد تا پایان سال نهایی و تکمیل می‎شود.,فاز نخست قراردادهای پژوهشی حوزه اکتشاف در شرف تکمیل است,پیشرفت قابل توجه در قراردادهای پژوهش دانشگاهی نفت ایران / تکمیل فاز اول ۳ قرارداد در سال جاری / ۵ قرارداد پژوهشی با دانشگاه‌ها امضا شد / ۲ قرارداد با دانشگاه صنعتی شریف / ۱ قرارداد بادانشگاه صنعتی امیرکبیر / یک قرارداد با دانشکده نفت و گاز دانشگاه صنعتی سهند رشت / ۴ قرارداد با سایر دانشگاه‌ها / ۶ قرارداد با شرکت‌های خصوصی / ۷ قرارداد با نهادهای
توکلی، کارشناس ارشد جغرافیای برنامه‌ریزی شهری گفت: وزیر راه و شهرسازی به مدیر عامل شرکت مادر تخصصی عمران شهرهای جدید تکلیف کرده حداقل تا پایان سال جاری و حداکثر تا پایان عمر دولت دوازدهم تمامی پروژه‌های باقی‌مانده مسکن مهر را در شهرهای جدید تکمیل و در اختیار متقاضیان قرار گیرد.,پرونده مسکن مهر، به زودی بسته می‌شود,تکمیل پروژه‌های مسکونی شهرهای جدید تا پایان امسال الزامی است / تکمیل ۳۰۰ هزار واحد مسکن تا پایان دولت دهم الزام‌آور بود / ۵۰۰ هزار متر مربع زمین برای ساخت مسکن جدید در نظر گرفته شده است. / ۶۰ درصد واحدهای ساخته شده مسکون مهر در شهرهای قدیمی واقع شده است / ۷۰ درصد از واحدهای باقی مانده مسکین مهر در شهر جدید کاشان واقع شده اند
علایی، معاون سازمان خصوصی‌سازی از احتمال تمدید زمان پذیره‌نویسی صندوق ETF دولتی (دارا دوم) به مدت یک هفته خبر داد.,احتمال تمدید مهلت پذیره‌نویسی صندوق ETF پالایشی,تمدید تا یک هفته برای پذیری صندوق دارا دوم / احتمال کاهش نرخ بازدهی ۲ تا ۳ درصدی این صندوق وجود دارد.
نمایندگان مجلس با در اولویت قرار گرفتن بررسی طرح اصلاح موادی از قانون انتخابات ریاست جمهوری و شوراهای اسلامی شهر و روستا موافقت کردند.,طرح اصلاح قانون انتخابات ریاست‌جمهوری با اولویت بررسی می‌شود,تصویب طرح اصلاح قانون انتخابات در دستور کار مجلس قرار می‌گیرد / نمایندگان به بررسی آن می‌پردازند.
متقاضیان می‌توانند از امروز یکشنبه ۲۲ دی‌ماه برای ثبت‌نام جدید آزمون TOEFL به سایت سنجش کشور مراجعه کنند.,هزینه آزمون TOEFLچقدر است؟,ثبت‌نام در آزمون زبان انگلیسی (TOEFL) از امروز آغاز می‌شود / زمان برگزاری آزمون اعلام شد.
گرگان ایرنا شهردار گرگان از فراهم شدن بستر واگذاری مدیریت باغ مزار استاد لطفی قلندر موسیقی ایران در محله سرچشمه این شهر به بخش خصوصی خبر داد و گفت: شرکت‌های فرهنگی و هنری در اولویت این واگذاری قرار دارند.,باغ مزار استاد لطفی به بخش خصوصی واگذار می‌شود,واگذار کردن مدیریت باغ لطفعلی قلندر به بخش غیردولتی /اولویت شرکت‌های هنری و فرهنگی است. /گرگان /ایران /شهرستان گرگان /باغ مزار قلندر /بخش خصوصی /شرکت‌های فرهنگی /هنری /اداره کل میراث فرهنگی و گردشگری استان گلستان /شهردار گرکان /سازمان شهرداری شهرستان گرگان. /مازندران /استان مازندران
رئیس دانشگاه علوم پزشکی و خدمات بهداشتی و درمانی استان مرکزی، آمار فوتی و مبتلایان به کرونا ۲۵ آبان ماه را تشریح کرد.,آمار کرونا مرکزی ۲۵ آبان؛ ۳۸ فوتی و ۶۲۲ ابتلای جدید,آمار کرونای استان مرکزی / ۵ فوتی در ۲۴ ساعت گذشته / ۳۴۶ بیمار در بیمارستان‌ها / ۲ هزار و ۵۰۰ نفر در قرنطینه / ۱۰۰ بیمار در بخش مراقبت‌های ویژه بستری هستند.
